month,neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
2021-04-01,McKeesport,1448,1887,0
2021-04-01,Millvale,453,560,0
2021-04-01,Neville,134,162,0
2021-04-01,Oakwood (Pittsburgh),106,210,0
2021-04-01,Ohio,853,1329,0
2021-04-01,Pennsbury Village,72,148,0
2021-04-01,Polish Hill (Pittsburgh),187,297,0
2021-04-01,Rankin,95,131,0
2021-04-01,Regent Square (Pittsburgh),139,249,0
2021-04-01,Reserve,394,605,0
2021-04-01,Sewickley Hills,78,134,0
2021-04-01,Shaler,3708,5290,0
2021-04-01,Sheraden (Pittsburgh),567,656,0
2021-04-01,South Shore (Pittsburgh),51,35,0
2021-04-01,Southside Flats (Pittsburgh),1495,1372,0
2021-04-01,Springdale Township,193,278,0
2021-04-01,Tarentum,531,470,0
2021-04-01,Troy Hill (Pittsburgh),427,510,0
2021-04-01,Upper Hill (Pittsburgh),240,305,0
2021-04-01,Upper Lawrenceville (Pittsburgh),411,601,0
2021-04-01,West Homestead,183,291,0
2021-04-01,West Mifflin,1977,2961,0
2021-04-01,Windgap (Pittsburgh),179,231,0
2021-05-01,Baldwin Township,95,237,0
2021-05-01,Bedford Dwellings (Pittsburgh),57,75,0
2021-05-01,Beltzhoover (Pittsburgh),93,155,0
2021-05-01,Braddock Hills,117,161,0
2021-05-01,Brentwood,519,1095,0
2021-05-01,Brookline (Pittsburgh),632,1447,0
2021-05-01,Carrick (Pittsburgh),515,1056,0
2021-05-01,Chateau (Pittsburgh),7,8,0
2021-05-01,Collier,358,819,0
2021-05-01,Duquesne,276,381,0
2021-05-01,East Liberty (Pittsburgh),272,766,0
2021-05-01,East Mckeesport,77,179,0
2021-05-01,Elliott (Pittsburgh),112,211,0
2021-05-01,Findlay,295,670,0
2021-05-01,Forest Hills,280,653,0
2021-05-01,Frazer,54,151,0
2021-05-01,Glassport,222,383,0
2021-05-01,Glenfield,13,15,0
2021-05-01,Greenfield (Pittsburgh),328,1023,0
2021-05-01,Heidelberg,77,158,0
2021-05-01,Homewood West (Pittsburgh),27,40,0
2021-05-01,Ingram,201,415,0
2021-05-01,Kilbuck,49,94,0
2021-05-01,Knoxville (Pittsburgh),168,264,0
2021-05-01,Lincoln-Lemington-Belmar (Pittsburgh),158,270,0
2021-05-01,Lower Lawrenceville (Pittsburgh),102,363,0
2021-05-01,McCandless,1680,3452,0
2021-05-01,Mckees rocks,291,460,0
2021-05-01,Middle Hill (Pittsburgh),76,123,0
2021-05-01,Morningside (Pittsburgh),124,371,0
2021-05-01,Munhall,587,1057,0
2021-05-01,Neville,56,110,0
2021-05-01,North Oakland (Pittsburgh),189,1259,0
2021-05-01,Oakmont,318,720,0
2021-05-01,Richland,619,1325,0
2021-05-01,Robinson,832,1634,0
2021-05-01,Sewickley Heights,66,119,0
2021-05-01,Sewickley Hills,28,59,0
2021-05-01,South Oakland (Pittsburgh),119,505,0
2021-05-01,South Shore (Pittsburgh),17,46,0
2021-05-01,Southside Slopes (Pittsburgh),205,541,0
2021-05-01,Spring Hill-City View (Pittsburgh),76,194,0
2021-05-01,Summer Hill (Pittsburgh),50,107,0
2021-05-01,Terrace Village (Pittsburgh),91,184,0
2021-01-01,Trafford,1,0,0
2020-12-01,Allentown (Pittsburgh),26,0,0
2020-12-01,Banksville (Pittsburgh),170,0,0
2020-12-01,Bellevue,117,0,0
2020-12-01,Blawnox,21,0,0
2020-12-01,Bon Air (Pittsburgh),16,0,0
2020-12-01,Brackenridge,93,0,0
2020-12-01,Bridgeville,60,0,0
2020-12-01,Brighton Heights (Pittsburgh),119,0,0
2020-12-01,Carnegie,88,0,0
2020-12-01,Central Lawrenceville (Pittsburgh),328,0,0
2020-12-01,East Allegheny (Pittsburgh),42,0,0
2020-12-01,East Deer,19,0,0
2020-12-01,Elizabeth Borough,26,0,0
2020-12-01,Elliott (Pittsburgh),10,0,0
2020-12-01,Etna,76,0,0
2020-12-01,Fawn,30,0,0
2020-12-01,Forward,22,0,0
2020-12-01,Fox Chapel,277,0,0
2020-12-01,Hampton,403,0,0
2020-12-01,Ingram,36,0,0
2020-12-01,Larimer (Pittsburgh),138,0,0
2020-12-01,Lincoln Place (Pittsburgh),77,0,0
2020-12-01,Manchester (Pittsburgh),19,0,0
2020-12-01,Millvale,43,0,0
2020-12-01,Neville,16,0,0
2020-12-01,Oakdale,13,0,0
2020-12-01,Windgap (Pittsburgh),18,0,0
2021-01-01,Haysville,5,0,0
2021-10-01,Undefined (Pittsburgh),1,0,0
2020-12-01,Baldwin Township,49,0,0
2020-12-01,Bedford Dwellings (Pittsburgh),6,0,0
2020-12-01,Beechview (Pittsburgh),106,0,0
2020-12-01,Beltzhoover (Pittsburgh),12,0,0
2020-12-01,Braddock Hills,22,0,0
2020-12-01,Brentwood,158,0,0
2020-12-01,Brookline (Pittsburgh),248,0,0
2020-12-01,Carrick (Pittsburgh),124,0,0
2020-12-01,Central Northside (Pittsburgh),68,0,0
2020-12-01,Chateau (Pittsburgh),1,0,0
2020-12-01,Collier,155,0,0
2020-12-01,Duquesne,24,0,0
2020-12-01,East Mckeesport,23,0,0
2020-12-01,Esplen (Pittsburgh),2,0,0
2020-12-01,Findlay,83,0,0
2020-12-01,Forest Hills,139,0,0
2020-12-01,Frazer,15,0,0
2020-12-01,Garfield (Pittsburgh),71,0,0
2020-12-01,Glassport,47,0,0
2020-12-01,Glenfield,5,0,0
2020-12-01,Heidelberg,17,0,0
2020-12-01,Homewood West (Pittsburgh),3,0,0
2020-12-01,Kilbuck,17,0,0
2020-12-01,Knoxville (Pittsburgh),21,0,0
2020-12-01,Liberty,44,0,0
2020-12-01,Lincoln-Lemington-Belmar (Pittsburgh),153,0,0
2020-12-01,Lower Lawrenceville (Pittsburgh),191,0,0
2020-12-01,McCandless,770,0,0
2020-12-01,Middle Hill (Pittsburgh),9,0,0
2020-12-01,Mt. Oliver (Pittsburgh),3,0,0
2020-12-01,Munhall,236,0,0
2020-12-01,North Braddock,28,0,0
2020-12-01,North Oakland (Pittsburgh),105,0,0
2020-12-01,Oakmont,133,0,0
2020-12-01,Plum,459,0,0
2020-12-01,Robinson,207,0,0
2020-12-01,Sewickley Heights,23,0,0
2020-12-01,Shadyside (Pittsburgh),778,0,0
2020-12-01,South Fayette,178,0,0
2020-12-01,Southside Slopes (Pittsburgh),115,0,0
2020-12-01,Spring Hill-City View (Pittsburgh),20,0,0
2020-12-01,Summer Hill (Pittsburgh),31,0,0
2020-12-01,Terrace Village (Pittsburgh),14,0,0
2020-12-01,Undefined,31,0,0
2020-12-01,West Elizabeth,4,0,0
2020-12-01,Whitaker,14,0,0
2020-12-01,Wilkinsburg,220,0,0
2020-12-01,Wilmerding,14,0,0
2021-02-01,Trafford,1,0,0
2021-08-01,Haysville,1,0,0
2021-09-01,Undefined (Pittsburgh),1,0,0
2021-11-01,Chateau (Pittsburgh),1,0,0
2022-03-01,South Shore (Pittsburgh),1,0,0
2022-04-01,Chateau (Pittsburgh),1,0,0
2022-06-01,Glen Osborne,1,0,0
2022-06-01,Hays (Pittsburgh),2,0,0
2022-07-01,Allegheny Center (Pittsburgh),5,0,0
2022-07-01,Allegheny West (Pittsburgh),1,0,0
2022-07-01,Ben Avon Heights,2,0,0
2022-07-01,South Versailles,2,0,0
2022-07-01,Swisshelm Park (Pittsburgh),1,0,0
2022-07-01,Thornburg,2,0,0
2022-07-01,Versailles,2,0,0
2022-08-01,Port Vue,1,0,0
2022-09-01,East Pittsburgh,2,0,0
2022-09-01,Etna,2,0,0
2022-09-01,Kilbuck,1,0,0
2022-09-01,Lincoln,2,0,0
2020-12-01,Allegheny Center (Pittsburgh),70,0,0
2020-12-01,Allegheny West (Pittsburgh),18,0,0
2020-12-01,Arlington (Pittsburgh),26,0,0
2020-12-01,Avalon,52,0,0
2020-12-01,Baldwin Borough,387,0,0
2020-12-01,Ben Avon,31,0,0
2020-12-01,Ben Avon Heights,9,0,0
2020-12-01,Braddock,11,0,0
2020-12-01,California-Kirkbride (Pittsburgh),6,0,0
2020-12-01,Castle Shannon,118,0,0
2020-12-01,Chartiers City (Pittsburgh),2,0,0
2020-12-01,Cheswick,27,0,0
2020-12-01,Clairton,37,0,0
2020-12-01,Crafton,80,0,0
2020-12-01,Crafton Heights (Pittsburgh),39,0,0
2020-12-01,Dormont,162,0,0
2020-12-01,Dravosburg,23,0,0
2020-12-01,East Carnegie (Pittsburgh),4,0,0
2020-12-01,East Hills (Pittsburgh),12,0,0
2020-12-01,Edgewood,104,0,0
2020-12-01,Edgeworth,38,0,0
2020-12-01,Emsworth,35,0,0
2020-12-01,Franklin Park,374,0,0
2020-12-01,Glen Hazel (Pittsburgh),4,0,0
2020-12-01,Harmar,51,0,0
2020-12-01,Hazelwood (Pittsburgh),39,0,0
2020-12-01,Highland Park (Pittsburgh),223,0,0
2020-12-01,Homewood South (Pittsburgh),19,0,0
2020-12-01,Indiana,169,0,0
2020-12-01,Leet,15,0,0
2020-12-01,Moon,251,0,0
2020-12-01,Mount Oliver Borough,28,0,0
2020-12-01,Mount Washington (Pittsburgh),176,0,0
2020-12-01,North Fayette,157,0,0
2020-12-01,North Shore (Pittsburgh),26,0,0
2020-12-01,North Versailles,107,0,0
2020-12-01,O'Hara,308,0,0
2020-12-01,Overbrook (Pittsburgh),62,0,0
2020-12-01,Perry South (Pittsburgh),38,0,0
2020-12-01,Pine,393,0,0
2020-12-01,Aspinwall,83,1,0
2020-12-01,Bluff (Pittsburgh),21,1,0
2020-12-01,Monroeville,531,1,0
2020-12-01,Mount Lebanon,699,1,0
2020-12-01,Perry North (Pittsburgh),60,1,0
2020-12-01,Scott,264,3,0
2020-12-01,Squirrel Hill South (Pittsburgh),521,2,0
2020-12-01,Swissvale,161,1,0
2021-01-01,Allegheny West (Pittsburgh),42,21,0
2021-01-01,Allentown (Pittsburgh),105,30,0
2021-01-01,Aspinwall,245,110,0
2021-01-01,Avalon,311,85,0
2021-01-01,Baldwin Borough,2042,579,0
2021-01-01,Bluff (Pittsburgh),115,27,0
2021-01-01,Bon Air (Pittsburgh),51,19,0
2021-01-01,California-Kirkbride (Pittsburgh),18,10,0
2021-01-01,Chartiers City (Pittsburgh),11,3,0
2021-01-01,Crafton Heights (Pittsburgh),161,50,0
2021-01-01,Dormont,534,207,0
2021-01-01,East Carnegie (Pittsburgh),39,5,0
2021-01-01,East Pittsburgh,37,14,0
2021-01-01,Elizabeth Borough,82,30,0
2021-01-01,Elizabeth Township,937,366,0
2021-01-01,Emsworth,134,49,0
2021-01-01,Etna,194,102,0
2021-01-01,Franklin Park,1142,509,0
2021-01-01,Harrison,586,239,0
2021-01-01,Hazelwood (Pittsburgh),144,47,0
2021-01-01,Highland Park (Pittsburgh),567,269,0
2021-01-01,Indiana,675,279,0
2021-01-01,Jefferson Hills,1189,405,0
2021-01-01,Larimer (Pittsburgh),73,128,0
2021-01-01,Lincoln Place (Pittsburgh),233,97,0
2021-01-01,McKeesport,922,409,0
2021-01-01,Millvale,184,74,0
2021-01-01,Moon,1378,337,0
2021-01-01,Mount Oliver Borough,106,36,0
2021-01-01,Mount Washington (Pittsburgh),506,221,0
2021-01-01,North Fayette,590,204,0
2021-01-01,Oakwood (Pittsburgh),52,17,0
2021-01-01,Overbrook (Pittsburgh),276,81,0
2021-01-01,Pennsbury Village,45,20,0
2021-01-01,Perry South (Pittsburgh),184,53,0
2021-01-01,Point Breeze North (Pittsburgh),166,66,0
2021-01-01,Polish Hill (Pittsburgh),61,31,0
2021-01-01,Port Vue,202,96,0
2021-01-01,Rankin,45,14,0
2021-01-01,Reserve,300,76,0
2021-01-01,Shaler,2288,924,0
