neighborhood,total_students_enrolled
Highland Park,30.0
California-Kirkbride,29.0
Bluff,29.0
Squirrel Hill South,29.0
Lincoln-Lemington-Belmar,28.0
Glen Hazel,28.0
Windgap,27.0
Central Northside,27.0
Homewood West,27.0
Perry South,27.0
Regent Square,27.0
West Oakland,26.0
Westwood,26.0
Upper Lawrenceville,26.0
Stanton Heights,25.0
Point Breeze North,25.0
Mount Oliver,24.0
Mount Oliver,24.0
Upper Lawrenceville,24.0
Polish Hill,23.0
South Oakland,23.0
Allegheny Center,23.0
Fairywood,22.0
Duquesne Heights,22.0
Glen Hazel,22.0
Arlington Heights,21.0
Mount Oliver,21.0
Homewood West,21.0
Bloomfield,21.0
Middle Hill,20.0
Friendship,20.0
Friendship,20.0
New Homestead,20.0
East Allegheny,20.0
Lower Lawrenceville,18.0
Bon Air,18.0
Fineview,18.0
Northview Heights,18.0
Glen Hazel,18.0
Fairywood,18.0
Bon Air,18.0
Allegheny Center,18.0
Bon Air,17.0
Crawford-Roberts,17.0
Oakwood,17.0
West End,17.0
Shadyside,17.0
Spring Hill-City View,16.0
Lower Lawrenceville,16.0
South Side Flats,16.0
Central Northside,16.0
Spring Garden,16.0
Greenfield,16.0
Summer Hill,16.0
Hays,15.0
East Allegheny,15.0
Chartiers City,15.0
Knoxville,15.0
Morningside,14.0
Fineview,14.0
West Oakland,14.0
Hays,14.0
Duquesne Heights,14.0
Manchester,13.0
South Oakland,13.0
Summer Hill,13.0
Saint Clair,13.0
Mt. Oliver Borough,13.0
Homewood West,12.0
Elliott,12.0
Larimer,12.0
Spring Garden,12.0
Windgap,12.0
East Carnegie,12.0
Summer Hill,12.0
Fineview,12.0
Bedford Dwellings,12.0
Polish Hill,11.0
Point Breeze,11.0
Upper Lawrenceville,11.0
Hays,11.0
Wilkinsburg Borough,11.0
Bluff,11.0
Friendship,11.0
West Oakland,11.0
